request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,0,0,25,456,14.035265104845166,0.0
10,1,0,0,25,324,10.922676839865744,0.0
101,1,0,0,24,262,8.024651882238686,0.0
105,1,0,0,30,152,4.66555605083704,0.0
106,1,0,0,20,430,13.799671120010316,0.0
110,1,0,0,27,512,15.530516277998686,0.0
111,1,0,0,17,110,3.3165134945884347,0.0
113,1,0,0,29,98,2.9906787974759936,0.0
119,1,0,0,25,468,14.381054114550352,0.0
12,1,0,0,24,223,7.622258205898106,0.0
129,1,0,0,26,309,9.414840186946094,0.0
134,1,0,0,23,84,2.6198456240817904,0.0
135,1,0,0,19,190,5.833226105198264,0.0
136,1,0,0,21,508,15.69810815807432,0.0
146,1,0,0,33,512,15.575533508323133,0.0
148,1,0,0,21,512,15.286966942250729,0.0
151,1,0,0,138,107,3.227239036001265,0.0
154,1,0,0,21,512,15.455806883051991,0.0
159,1,0,0,20,30,0.9057246362790465,0.0
166,1,0,0,25,89,2.728841735050082,0.0
168,1,0,0,20,512,15.3458272498101,0.0
171,1,0,0,40,512,15.95884635206312,0.0
177,1,0,0,19,73,2.1890311343595386,0.0
18,1,0,0,19,141,4.33737859223038,0.0
181,1,0,0,24,104,3.1283019622787833,0.0
187,1,0,0,34,243,7.23523448035121,0.0
189,1,0,0,33,512,15.296933457255363,0.0
195,1,0,0,21,128,3.8428227929398417,0.0
199,1,0,0,19,64,1.9076734725385904,0.0
203,1,0,0,18,69,2.074885998852551,0.0
207,1,0,0,19,359,10.744847873225808,0.0
208,1,0,0,15,28,0.8560660732910037,0.0
210,1,0,0,25,410,12.155320340767503,0.0
216,1,0,0,16,11,0.3455045036971569,0.0
219,1,0,0,39,30,0.8992430632933974,0.0
22,1,0,0,16,82,2.562987216748297,0.0
221,1,0,0,16,64,1.9000579146668315,0.0
222,1,0,0,30,186,5.521459678187966,0.0
230,1,0,0,48,160,4.761854185722768,0.0
232,1,0,0,17,372,11.246742359362543,0.0
246,1,0,0,35,351,10.529152269475162,0.0
247,1,0,0,19,84,2.4972297521308064,0.0
250,1,0,0,26,253,7.554693912155926,0.0
253,1,0,0,19,338,10.725301655009389,0.0
254,1,0,0,34,44,1.3237150618806481,0.0
257,1,0,0,35,35,1.1016366546973586,0.0
26,1,0,0,19,413,12.646438159048557,0.0
260,1,0,0,30,321,10.359304600395262,0.0
265,1,0,0,21,80,2.384850438684225,0.0
267,1,0,0,26,361,10.825121350586414,0.0
277,1,0,0,54,31,0.9302934072911739,0.0
281,1,0,0,22,172,5.152404184453189,0.0
287,1,0,0,24,512,15.866343088448048,0.0
288,1,0,0,28,155,4.775215576402843,0.0
289,1,0,0,32,381,11.467004062607884,0.0
295,1,0,0,32,276,8.303787591867149,0.0
299,1,0,0,40,210,6.36965908575803,0.0
30,1,0,0,19,512,16.649701026268303,0.0
303,1,0,0,50,512,15.78695861902088,0.0
308,1,0,0,34,141,4.324127153493464,0.0
31,1,0,0,19,332,10.10239056032151,0.0
313,1,0,0,247,237,7.1655909130349755,0.0
317,1,0,0,25,315,9.557159482501447,0.0
322,1,0,0,27,249,7.52860920317471,0.0
324,1,0,0,26,132,3.948922850191593,0.0
33,1,0,0,14,390,11.99384530261159,0.0
330,1,0,0,25,82,2.461762396618724,0.0
343,1,0,0,29,49,1.4742465699091554,0.0
344,1,0,0,57,118,3.581323313526809,0.0
346,1,0,0,34,22,0.658994629047811,0.0
347,1,0,0,20,301,9.111356367357075,0.0
349,1,0,0,94,72,2.1571224397048354,0.0
357,1,0,0,26,383,11.538079241290689,0.0
358,1,0,0,33,11,0.3427728917449713,0.0
360,1,0,0,44,48,1.4407370863482356,0.0
368,1,0,0,29,512,15.330795319750905,0.0
375,1,0,0,45,17,0.5120437499135733,0.0
381,1,0,0,32,11,0.34516781847923994,0.0
384,1,0,0,41,13,0.41347248014062643,0.0
387,1,0,0,23,378,11.322541174478829,0.0
388,1,0,0,21,59,1.7624451601877809,0.0
39,1,0,0,19,406,13.262197603471577,0.0
398,1,0,0,34,327,10.00753535144031,0.0
399,1,0,0,25,370,11.218464729376137,0.0
4,1,0,0,18,512,16.36221183091402,0.0
405,1,0,0,31,358,10.858922601677477,0.0
407,1,0,0,26,242,7.328367956914008,0.0
413,1,0,0,41,261,8.687269530259073,0.0
414,1,0,0,39,393,11.758199368603528,0.0
417,1,0,0,40,406,12.221418429166079,0.0
418,1,0,0,45,287,8.602480184286833,0.0
42,1,0,0,19,308,9.515206426382065,0.0
425,1,0,0,27,315,9.996785175055265,0.0
426,1,0,0,36,500,15.116752134636045,0.0
427,1,0,0,80,71,2.097385484725237,0.0
429,1,0,0,31,218,6.6134636187925935,0.0
437,1,0,0,71,512,15.329824063926935,0.0
44,1,0,0,23,180,5.46029391605407,0.0
442,1,0,0,35,344,10.412376661784947,0.0
444,1,0,0,23,512,15.191700574941933,0.0
445,1,0,0,33,244,7.257562045939267,0.0
45,1,0,0,20,97,2.9663922488689423,0.0
450,1,0,0,23,512,15.1601468231529,0.0
453,1,0,0,20,501,14.941886813379824,0.0
