method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_sec
no_defense,none,1,target,api,43,512,0.0
no_defense,none,2,target,api,43,490,0.0
no_defense,none,3,target,api,44,512,0.0
no_defense,none,4,target,api,44,512,0.0
no_defense,none,5,target,api,45,475,0.0
no_defense,none,6,target,api,43,512,0.0
no_defense,none,7,target,api,44,376,0.0
no_defense,none,8,target,api,44,483,0.0
no_defense,none,9,target,api,47,512,0.0
no_defense,none,10,target,api,43,353,0.0
no_defense,none,11,target,api,45,404,0.0
no_defense,none,12,target,api,44,482,0.0
no_defense,none,13,target,api,43,512,0.0
no_defense,none,14,target,api,47,19,0.0
no_defense,none,15,target,api,46,512,0.0
no_defense,none,16,target,api,45,137,0.0
no_defense,none,17,target,api,44,285,0.0
no_defense,none,18,target,api,44,512,0.0
no_defense,none,19,target,api,48,512,0.0
no_defense,none,20,target,api,46,312,0.0
no_defense,none,21,target,api,45,512,0.0
no_defense,none,22,target,api,48,26,0.0
no_defense,none,23,target,api,47,512,0.0
no_defense,none,24,target,api,46,493,0.0
no_defense,none,25,target,api,47,18,0.0
no_defense,none,51,target,api,46,512,0.0
no_defense,none,52,target,api,48,244,0.0
no_defense,none,53,target,api,47,512,0.0
no_defense,none,54,target,api,45,428,0.0
no_defense,none,55,target,api,46,492,0.0
no_defense,none,56,target,api,47,426,0.0
no_defense,none,57,target,api,49,435,0.0
no_defense,none,58,target,api,47,448,0.0
no_defense,none,59,target,api,43,512,0.0
no_defense,none,60,target,api,47,512,0.0
no_defense,none,61,target,api,45,512,0.0
no_defense,none,62,target,api,48,512,0.0
no_defense,none,63,target,api,47,512,0.0
no_defense,none,64,target,api,44,512,0.0
no_defense,none,65,target,api,46,511,0.0
no_defense,none,66,target,api,45,512,0.0
no_defense,none,67,target,api,46,512,0.0
no_defense,none,68,target,api,43,331,0.0
no_defense,none,69,target,api,44,512,0.0
no_defense,none,70,target,api,43,512,0.0
no_defense,none,71,target,api,46,512,0.0
no_defense,none,72,target,api,47,512,0.0
no_defense,none,73,target,api,47,512,0.0
no_defense,none,74,target,api,46,512,0.0
no_defense,none,75,target,api,48,512,0.0
no_defense,none,101,target,api,46,512,0.0
no_defense,none,102,target,api,45,404,0.0
no_defense,none,103,target,api,46,281,0.0
no_defense,none,104,target,api,45,512,0.0
no_defense,none,105,target,api,46,512,0.0
no_defense,none,106,target,api,45,38,0.0
no_defense,none,107,target,api,44,458,0.0
no_defense,none,108,target,api,45,512,0.0
no_defense,none,109,target,api,49,286,0.0
no_defense,none,110,target,api,47,512,0.0
no_defense,none,111,target,api,49,420,0.0
no_defense,none,112,target,api,41,512,0.0
no_defense,none,113,target,api,45,425,0.0
no_defense,none,114,target,api,47,471,0.0
no_defense,none,115,target,api,49,512,0.0
no_defense,none,116,target,api,44,358,0.0
no_defense,none,117,target,api,47,512,0.0
no_defense,none,118,target,api,48,512,0.0
no_defense,none,119,target,api,44,512,0.0
no_defense,none,120,target,api,46,463,0.0
no_defense,none,121,target,api,44,497,0.0
no_defense,none,122,target,api,50,512,0.0
no_defense,none,123,target,api,49,512,0.0
no_defense,none,124,target,api,45,512,0.0
no_defense,none,125,target,api,43,383,0.0
no_defense,none,151,target,api,45,300,0.0
no_defense,none,152,target,api,47,317,0.0
no_defense,none,153,target,api,49,421,0.0
no_defense,none,154,target,api,44,501,0.0
no_defense,none,155,target,api,48,340,0.0
no_defense,none,156,target,api,47,452,0.0
no_defense,none,157,target,api,47,269,0.0
no_defense,none,158,target,api,50,336,0.0
no_defense,none,159,target,api,49,93,0.0
no_defense,none,160,target,api,52,52,0.0
no_defense,none,161,target,api,47,476,0.0
no_defense,none,162,target,api,46,18,0.0
no_defense,none,163,target,api,46,512,0.0
no_defense,none,164,target,api,48,512,0.0
no_defense,none,165,target,api,45,475,0.0
no_defense,none,166,target,api,46,478,0.0
no_defense,none,167,target,api,49,512,0.0
no_defense,none,168,target,api,46,8,0.0
no_defense,none,169,target,api,53,487,0.0
no_defense,none,170,target,api,51,512,0.0
no_defense,none,171,target,api,51,311,0.0
no_defense,none,172,target,api,51,344,0.0
no_defense,none,173,target,api,49,512,0.0
no_defense,none,174,target,api,50,490,0.0
no_defense,none,175,target,api,51,31,0.0
no_defense,none,201,target,api,42,304,0.0
no_defense,none,202,target,api,39,512,0.0
no_defense,none,203,target,api,40,291,0.0
no_defense,none,204,target,api,40,296,0.0
no_defense,none,205,target,api,44,211,0.0
no_defense,none,206,target,api,39,469,0.0
no_defense,none,207,target,api,40,469,0.0
no_defense,none,208,target,api,40,442,0.0
no_defense,none,209,target,api,44,512,0.0
no_defense,none,210,target,api,39,372,0.0
no_defense,none,211,target,api,47,347,0.0
no_defense,none,212,target,api,45,280,0.0
no_defense,none,213,target,api,46,196,0.0
no_defense,none,214,target,api,47,213,0.0
no_defense,none,215,target,api,45,230,0.0
no_defense,none,216,target,api,39,358,0.0
no_defense,none,217,target,api,41,407,0.0
no_defense,none,218,target,api,42,331,0.0
no_defense,none,219,target,api,43,220,0.0
no_defense,none,220,target,api,39,512,0.0
no_defense,none,221,target,api,39,366,0.0
no_defense,none,222,target,api,40,409,0.0
no_defense,none,223,target,api,39,367,0.0
no_defense,none,224,target,api,40,488,0.0
no_defense,none,225,target,api,39,301,0.0
no_defense,none,251,target,api,43,242,0.0
no_defense,none,252,target,api,45,365,0.0
no_defense,none,253,target,api,44,125,0.0
no_defense,none,254,target,api,46,132,0.0
no_defense,none,255,target,api,48,95,0.0
no_defense,none,256,target,api,45,273,0.0
no_defense,none,257,target,api,43,76,0.0
no_defense,none,258,target,api,42,138,0.0
no_defense,none,259,target,api,43,136,0.0
no_defense,none,260,target,api,45,154,0.0
no_defense,none,261,target,api,47,461,0.0
no_defense,none,262,target,api,45,125,0.0
no_defense,none,263,target,api,44,203,0.0
no_defense,none,264,target,api,47,193,0.0
no_defense,none,265,target,api,52,26,0.0
no_defense,none,266,target,api,49,204,0.0
no_defense,none,267,target,api,47,289,0.0
