method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
no_defense_local,none,0,target,local,0,0,25,512,8.829938963986933
no_defense_local,none,4,target,local,0,0,18,508,8.602338302880526
no_defense_local,none,10,target,local,0,0,25,512,9.04098351392895
no_defense_local,none,12,target,local,0,0,24,422,7.222424912266433
no_defense_local,none,18,target,local,0,0,19,512,9.004889271222055
no_defense_local,none,22,target,local,0,0,16,315,5.541720145381987
no_defense_local,none,26,target,local,0,0,19,512,8.637419629842043
no_defense_local,none,30,target,local,0,0,19,512,8.825353083200753
no_defense_local,none,31,target,local,0,0,19,479,8.302380559034646
no_defense_local,none,33,target,local,0,0,14,446,7.565849106758833
no_defense_local,none,39,target,local,0,0,19,512,8.782865386456251
no_defense_local,none,42,target,local,0,0,19,512,8.585234755650163
no_defense_local,none,44,target,local,0,0,23,512,8.786468334496021
no_defense_local,none,45,target,local,0,0,20,503,8.754827631637454
no_defense_local,none,55,target,local,0,0,25,481,7.995756287127733
no_defense_local,none,66,target,local,0,0,23,506,8.857919617556036
no_defense_local,none,67,target,local,0,0,22,512,8.841573158279061
no_defense_local,none,70,target,local,0,0,33,512,8.665794705972075
no_defense_local,none,76,target,local,0,0,28,512,8.565385944209993
no_defense_local,none,77,target,local,0,0,19,316,5.293463833630085
no_defense_local,none,78,target,local,0,0,32,512,9.10504226014018
no_defense_local,none,84,target,local,0,0,20,375,6.483642330393195
no_defense_local,none,89,target,local,0,0,35,512,8.687015922740102
no_defense_local,none,93,target,local,0,0,23,488,8.957703228108585
no_defense_local,none,97,target,local,0,0,17,394,6.710196828469634
no_defense_local,none,101,target,local,0,0,24,428,7.268327836878598
no_defense_local,none,105,target,local,0,0,30,512,8.92796209640801
no_defense_local,none,106,target,local,0,0,20,512,8.762424368411303
no_defense_local,none,110,target,local,0,0,27,512,8.721291674301028
no_defense_local,none,111,target,local,0,0,17,166,2.791112299077213
no_defense_local,none,113,target,local,0,0,29,269,4.487566403113306
no_defense_local,none,119,target,local,0,0,25,372,6.230483438819647
no_defense_local,none,129,target,local,0,0,26,512,8.961577298119664
