request_id,n_calls,api_in_tokens,api_out_tokens,local_sec
1,4,2548,1652,0.0
2,5,3323,2131,0.0
10,4,2047,1173,0.0
101,4,2392,1435,0.0
102,4,2250,1370,0.0
103,5,2551,1552,0.0
104,4,2425,1454,0.0
105,5,3291,2043,0.0
106,5,1451,749,0.0
107,2,701,560,0.0
108,2,758,597,0.0
109,5,3102,1859,0.0
11,2,647,464,0.0
110,5,3227,1972,0.0
111,2,673,503,0.0
112,5,3320,2094,0.0
113,2,680,576,0.0
114,4,2388,1485,0.0
115,2,766,630,0.0
116,4,1844,988,0.0
117,5,3621,2364,0.0
118,2,737,589,0.0
119,2,757,658,0.0
12,5,3185,1978,0.0
120,5,3105,1942,0.0
121,2,740,712,0.0
122,2,769,598,0.0
123,5,3268,2021,0.0
124,4,2384,1466,0.0
125,2,624,572,0.0
13,2,755,823,0.0
14,4,909,372,0.0
15,4,2405,1463,0.0
151,5,3092,2035,0.0
152,2,566,385,0.0
153,4,2093,1225,0.0
154,4,2290,1341,0.0
155,5,2352,1135,0.0
156,5,3162,1880,0.0
157,5,2163,1205,0.0
158,5,2180,1252,0.0
159,5,1543,751,0.0
16,2,382,193,0.0
160,5,1447,617,0.0
161,5,3314,1986,0.0
162,2,265,75,0.0
163,4,2593,1679,0.0
164,5,3348,2087,0.0
165,5,3099,1894,0.0
166,5,3265,2063,0.0
167,4,2213,1280,0.0
168,2,255,71,0.0
169,5,3397,2140,0.0
17,5,2513,1472,0.0
170,2,770,640,0.0
171,5,3274,2236,0.0
172,5,2416,1341,0.0
173,5,3102,1764,0.0
174,4,2374,1409,0.0
175,2,288,77,0.0
18,5,3287,2048,0.0
19,2,762,603,0.0
20,4,2078,1277,0.0
201,5,2243,1269,0.0
202,5,3682,2248,0.0
203,5,2629,1696,0.0
204,5,2703,1750,0.0
205,5,2033,1128,0.0
206,4,2084,1153,0.0
207,4,2529,1687,0.0
208,4,2097,1210,0.0
209,2,757,591,0.0
21,5,3316,2073,0.0
210,5,3393,2297,0.0
211,4,1894,1125,0.0
212,4,1623,942,0.0
213,5,2168,1164,0.0
214,5,2143,1214,0.0
215,5,2348,1438,0.0
216,4,1981,1148,0.0
217,4,2202,1392,0.0
218,5,2996,1991,0.0
219,5,2440,1542,0.0
22,2,294,106,0.0
220,5,3457,2188,0.0
221,2,599,743,0.0
222,5,3276,2125,0.0
223,5,3091,2025,0.0
224,5,3193,2016,0.0
225,4,1866,1122,0.0
23,2,762,636,0.0
24,4,2310,1349,0.0
25,2,267,83,0.0
251,2,483,331,0.0
252,4,2026,1199,0.0
253,4,1210,666,0.0
254,2,379,240,0.0
255,2,346,182,0.0
256,4,1706,903,0.0
257,2,397,244,0.0
258,2,377,257,0.0
259,4,1198,573,0.0
260,2,488,424,0.0
261,2,710,566,0.0
262,2,370,236,0.0
263,2,446,267,0.0
264,4,1454,822,0.0
265,2,285,75,0.0
266,2,457,290,0.0
267,4,1889,1095,0.0
268,2,514,409,0.0
269,2,390,255,0.0
270,2,427,281,0.0
271,2,382,237,0.0
272,4,1514,836,0.0
273,4,1260,649,0.0
274,2,509,468,0.0
275,2,566,375,0.0
276,2,363,211,0.0
277,2,427,251,0.0
278,4,1450,743,0.0
279,2,383,246,0.0
280,4,1778,1061,0.0
281,4,2287,1453,0.0
282,5,2145,1280,0.0
283,2,489,338,0.0
284,2,540,442,0.0
285,2,476,294,0.0
286,2,646,506,0.0
287,2,517,369,0.0
288,4,1620,933,0.0
289,5,3343,2192,0.0
290,2,387,226,0.0
291,4,2439,1431,0.0
292,4,1511,808,0.0
293,4,1678,951,0.0
294,5,1879,1125,0.0
295,2,511,352,0.0
296,4,1771,1034,0.0
297,2,525,368,0.0
298,5,2125,1255,0.0
299,4,1927,1041,0.0
3,4,2435,1459,0.0
300,2,657,502,0.0
326,4,2370,1328,0.0
