request_id,n_calls,api_in_tokens,api_out_tokens,local_sec
1,4,831,871,0.0
2,4,854,943,0.0
10,4,729,967,0.0
101,4,899,1014,0.0
102,4,868,828,0.0
103,4,752,707,0.0
104,4,729,935,0.0
105,4,752,1030,0.0
106,4,747,571,0.0
107,4,902,739,0.0
108,4,895,928,0.0
109,4,753,723,0.0
11,4,837,764,0.0
110,4,749,909,0.0
111,4,864,711,0.0
112,3,591,948,0.0
113,4,733,948,0.0
114,4,749,862,0.0
115,4,857,751,0.0
116,4,738,789,0.0
117,4,727,1100,0.0
118,3,619,1067,0.0
119,3,603,1096,0.0
12,4,923,987,0.0
120,3,682,659,0.0
121,4,842,636,0.0
122,4,756,874,0.0
123,4,729,542,0.0
124,4,830,829,0.0
125,4,737,789,0.0
13,4,728,831,0.0
14,4,974,863,0.0
15,4,920,1006,0.0
151,4,857,740,0.0
152,4,872,747,0.0
153,4,855,841,0.0
154,4,782,939,0.0
155,4,841,855,0.0
156,4,907,719,0.0
157,4,880,808,0.0
158,4,771,711,0.0
159,4,871,714,0.0
16,4,743,759,0.0
160,4,892,445,0.0
161,4,846,773,0.0
162,4,864,405,0.0
163,4,836,940,0.0
164,4,842,938,0.0
165,4,864,1024,0.0
166,4,748,948,0.0
167,4,1019,1157,0.0
168,4,748,763,0.0
169,4,904,808,0.0
17,4,785,576,0.0
170,4,753,1046,0.0
171,4,823,452,0.0
172,4,857,754,0.0
173,4,844,980,0.0
174,4,755,1026,0.0
175,4,834,638,0.0
18,4,742,1005,0.0
19,4,744,1125,0.0
20,4,744,766,0.0
201,4,772,444,0.0
202,4,763,684,0.0
203,4,794,634,0.0
204,4,781,379,0.0
205,4,813,603,0.0
206,4,877,799,0.0
207,4,768,606,0.0
208,4,816,927,0.0
209,4,730,832,0.0
21,4,885,905,0.0
210,4,758,576,0.0
211,4,817,654,0.0
212,4,841,637,0.0
213,4,835,765,0.0
214,4,753,720,0.0
215,4,809,899,0.0
216,4,715,860,0.0
217,4,752,850,0.0
218,4,774,556,0.0
219,4,788,637,0.0
22,4,822,844,0.0
220,4,777,850,0.0
221,4,748,404,0.0
222,4,754,749,0.0
223,4,789,759,0.0
224,4,754,456,0.0
225,4,739,422,0.0
23,4,869,1029,0.0
24,4,1007,910,0.0
25,4,747,1194,0.0
251,4,824,583,0.0
252,4,847,732,0.0
253,4,730,668,0.0
254,4,826,638,0.0
255,4,726,479,0.0
256,4,830,675,0.0
257,4,815,674,0.0
258,4,800,747,0.0
259,4,784,676,0.0
260,4,737,604,0.0
261,4,916,1036,0.0
262,4,713,620,0.0
263,4,843,957,0.0
264,4,742,879,0.0
265,4,761,153,0.0
266,4,737,785,0.0
267,4,869,696,0.0
268,4,732,531,0.0
269,4,724,563,0.0
270,4,721,556,0.0
271,4,827,901,0.0
272,4,716,601,0.0
273,3,619,682,0.0
274,4,748,794,0.0
275,4,723,641,0.0
276,4,806,664,0.0
277,4,724,476,0.0
278,4,822,684,0.0
279,4,840,789,0.0
280,4,852,894,0.0
281,4,814,873,0.0
282,3,687,676,0.0
283,4,786,670,0.0
284,4,827,647,0.0
285,4,731,430,0.0
286,4,835,848,0.0
287,4,837,802,0.0
288,4,812,674,0.0
289,4,734,728,0.0
290,4,813,750,0.0
291,4,930,707,0.0
292,4,798,615,0.0
293,4,800,809,0.0
294,4,800,804,0.0
295,4,718,704,0.0
296,4,703,756,0.0
297,4,713,961,0.0
298,4,752,585,0.0
299,4,748,833,0.0
3,4,922,999,0.0
300,4,747,835,0.0
326,4,824,990,0.0
327,4,752,965,0.0
328,4,819,1011,0.0
329,4,851,887,0.0
