request_id,n_calls,api_in_tokens,api_out_tokens,local_sec
1,1,186,440,0.0
10,1,186,266,0.0
101,1,189,21,0.0
102,1,188,262,0.0
103,1,189,21,0.0
104,1,188,278,0.0
105,1,189,25,0.0
106,1,188,43,0.0
107,1,187,333,0.0
108,1,188,501,0.0
109,1,192,26,0.0
11,1,188,207,0.0
110,1,190,320,0.0
111,1,192,23,0.0
112,1,184,389,0.0
113,1,188,317,0.0
114,1,190,343,0.0
115,1,192,30,0.0
116,1,187,265,0.0
117,1,190,469,0.0
118,1,191,277,0.0
119,1,187,310,0.0
12,1,187,347,0.0
120,1,189,305,0.0
121,1,187,379,0.0
122,1,193,427,0.0
123,1,192,22,0.0
124,1,188,357,0.0
125,1,186,286,0.0
13,1,186,357,0.0
14,1,190,28,0.0
15,1,189,445,0.0
151,1,188,24,0.0
152,1,190,341,0.0
153,1,192,27,0.0
154,1,187,24,0.0
155,1,191,23,0.0
156,1,190,199,0.0
157,1,190,26,0.0
158,1,193,30,0.0
159,1,192,17,0.0
16,1,188,171,0.0
160,1,195,240,0.0
161,1,190,26,0.0
162,1,189,29,0.0
163,1,189,34,0.0
164,1,191,380,0.0
165,1,188,25,0.0
166,1,189,35,0.0
167,1,192,26,0.0
168,1,189,28,0.0
169,1,196,32,0.0
17,1,187,171,0.0
170,1,194,335,0.0
171,1,194,28,0.0
172,1,194,25,0.0
173,1,192,32,0.0
174,1,193,27,0.0
175,1,194,26,0.0
18,1,187,51,0.0
19,1,191,326,0.0
2,1,186,282,0.0
20,1,189,202,0.0
201,1,185,177,0.0
202,1,182,169,0.0
203,1,183,262,0.0
204,1,183,218,0.0
205,1,187,245,0.0
206,1,182,17,0.0
207,1,183,32,0.0
208,1,183,286,0.0
209,1,187,289,0.0
21,1,188,327,0.0
210,1,182,270,0.0
211,1,190,270,0.0
212,1,188,315,0.0
213,1,189,224,0.0
214,1,190,277,0.0
215,1,188,252,0.0
216,1,182,22,0.0
217,1,184,218,0.0
218,1,185,19,0.0
219,1,186,23,0.0
22,1,191,40,0.0
220,1,182,22,0.0
221,1,182,195,0.0
222,1,183,292,0.0
223,1,182,209,0.0
224,1,183,262,0.0
225,1,182,218,0.0
23,1,190,416,0.0
24,1,189,386,0.0
25,1,190,25,0.0
251,1,186,226,0.0
252,1,188,407,0.0
253,1,187,182,0.0
254,1,189,191,0.0
255,1,191,334,0.0
256,1,188,322,0.0
257,1,186,329,0.0
258,1,185,289,0.0
259,1,186,28,0.0
260,1,188,311,0.0
261,1,190,341,0.0
262,1,188,188,0.0
263,1,187,199,0.0
264,1,190,264,0.0
265,1,195,24,0.0
266,1,192,377,0.0
267,1,190,254,0.0
268,1,187,286,0.0
269,1,189,235,0.0
270,1,190,31,0.0
271,1,192,327,0.0
272,1,189,338,0.0
273,1,191,348,0.0
274,1,193,394,0.0
275,1,190,264,0.0
276,1,186,287,0.0
277,1,191,207,0.0
278,1,187,287,0.0
279,1,187,244,0.0
280,1,190,287,0.0
281,1,186,245,0.0
282,1,186,322,0.0
283,1,185,262,0.0
284,1,191,258,0.0
285,1,192,315,0.0
286,1,189,262,0.0
287,1,186,350,0.0
288,1,186,277,0.0
289,1,191,360,0.0
290,1,188,240,0.0
291,1,192,386,0.0
292,1,186,282,0.0
293,1,188,314,0.0
294,1,188,338,0.0
295,1,189,225,0.0
296,1,186,327,0.0
297,1,188,268,0.0
298,1,189,344,0.0
299,1,191,263,0.0
3,1,187,338,0.0
300,1,188,276,0.0
326,1,189,255,0.0
327,1,189,441,0.0
328,1,189,339,0.0
329,1,186,268,0.0
330,1,193,383,0.0
331,1,186,262,0.0
332,1,188,31,0.0
333,1,186,305,0.0
334,1,190,268,0.0
335,1,192,21,0.0
336,1,192,289,0.0
337,1,191,26,0.0
338,1,184,22,0.0
339,1,192,26,0.0
340,1,191,438,0.0
341,1,185,233,0.0
342,1,184,258,0.0
343,1,185,206,0.0
344,1,186,23,0.0
345,1,185,241,0.0
346,1,188,262,0.0
347,1,191,268,0.0
348,1,188,370,0.0
349,1,193,322,0.0
350,1,193,404,0.0
376,1,187,162,0.0
377,1,188,180,0.0
378,1,187,161,0.0
379,1,187,158,0.0
380,1,185,300,0.0
381,1,185,194,0.0
382,1,187,235,0.0
383,1,189,224,0.0
384,1,189,199,0.0
385,1,187,224,0.0
386,1,190,197,0.0
387,1,188,236,0.0
388,1,189,148,0.0
389,1,184,145,0.0
390,1,188,149,0.0
391,1,192,149,0.0
392,1,186,256,0.0
393,1,191,179,0.0
394,1,188,249,0.0
395,1,186,255,0.0
396,1,189,138,0.0
397,1,183,152,0.0
398,1,186,167,0.0
399,1,187,173,0.0
4,1,187,23,0.0
400,1,187,210,0.0
401,1,187,26,0.0
402,1,194,27,0.0
403,1,190,24,0.0
404,1,187,180,0.0
405,1,187,261,0.0
406,1,186,24,0.0
407,1,187,21,0.0
408,1,187,21,0.0
409,1,188,239,0.0
410,1,187,21,0.0
411,1,186,216,0.0
412,1,186,215,0.0
413,1,188,250,0.0
414,1,187,248,0.0
415,1,186,165,0.0
416,1,190,28,0.0
417,1,187,26,0.0
418,1,188,26,0.0
419,1,191,27,0.0
420,1,188,237,0.0
421,1,187,26,0.0
422,1,186,233,0.0
423,1,188,24,0.0
424,1,189,254,0.0
425,1,186,223,0.0
5,1,188,406,0.0
51,1,189,339,0.0
52,1,191,25,0.0
53,1,190,364,0.0
54,1,188,272,0.0
55,1,189,322,0.0
56,1,190,315,0.0
57,1,192,26,0.0
58,1,190,330,0.0
59,1,186,29,0.0
6,1,186,234,0.0
60,1,190,26,0.0
61,1,188,30,0.0
62,1,191,367,0.0
63,1,190,501,0.0
64,1,187,35,0.0
65,1,189,336,0.0
66,1,188,390,0.0
67,1,189,389,0.0
68,1,186,249,0.0
69,1,187,373,0.0
7,1,187,324,0.0
70,1,186,376,0.0
71,1,189,73,0.0
72,1,190,333,0.0
73,1,190,30,0.0
74,1,189,325,0.0
75,1,191,409,0.0
8,1,187,263,0.0
9,1,190,355,0.0
