method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_sec
erase_and_check,pre,1,filter_check,local,0,0,0.2430568691343069
erase_and_check,pre,1,target,api,43,512,0.0
erase_and_check,pre,2,filter_check,local,0,0,0.029679849743843
erase_and_check,pre,2,target,api,43,490,0.0
erase_and_check,pre,3,filter_check,local,0,0,0.0340946810320019
erase_and_check,pre,3,target,api,44,512,0.0
erase_and_check,pre,4,filter_check,local,0,0,0.0379156060516834
erase_and_check,pre,4,target,api,44,512,0.0
erase_and_check,pre,5,filter_check,local,0,0,0.036124630831182
erase_and_check,pre,5,target,api,45,475,0.0
erase_and_check,pre,6,filter_check,local,0,0,0.26132207177579403
erase_and_check,pre,6,target,api,43,512,0.0
erase_and_check,pre,7,filter_check,local,0,0,0.037663983181118965
erase_and_check,pre,7,target,api,44,385,0.0
erase_and_check,pre,8,filter_check,local,0,0,0.0323411887511611
erase_and_check,pre,8,target,api,44,483,0.0
erase_and_check,pre,9,filter_check,local,0,0,0.04978566151112318
erase_and_check,pre,9,target,api,47,512,0.0
erase_and_check,pre,10,filter_check,local,0,0,0.03084584604948759
erase_and_check,pre,10,target,api,43,380,0.0
erase_and_check,pre,11,filter_check,local,0,0,0.05282583646476269
erase_and_check,pre,11,target,api,45,402,0.0
erase_and_check,pre,12,filter_check,local,0,0,0.04277930222451687
erase_and_check,pre,12,target,api,44,512,0.0
erase_and_check,pre,13,filter_check,local,0,0,0.02912698406726122
erase_and_check,pre,13,target,api,43,512,0.0
erase_and_check,pre,14,filter_check,local,0,0,0.04048486053943634
erase_and_check,pre,14,target,api,47,19,0.0
erase_and_check,pre,15,filter_check,local,0,0,0.0390028553083539
erase_and_check,pre,15,target,api,46,512,0.0
erase_and_check,pre,16,filter_check,local,0,0,0.03911066986620426
erase_and_check,pre,16,target,api,45,137,0.0
erase_and_check,pre,17,filter_check,local,0,0,0.03199539985507727
erase_and_check,pre,17,target,api,44,285,0.0
erase_and_check,pre,18,filter_check,local,0,0,0.03242987859994173
erase_and_check,pre,18,target,api,44,512,0.0
erase_and_check,pre,19,filter_check,local,0,0,0.047119454480707645
erase_and_check,pre,19,target,api,48,511,0.0
erase_and_check,pre,20,filter_check,local,0,0,0.04075020272284746
erase_and_check,pre,20,target,api,46,312,0.0
erase_and_check,pre,21,filter_check,local,0,0,0.03532771859318018
erase_and_check,pre,21,target,api,45,512,0.0
erase_and_check,pre,22,filter_check,local,0,0,0.06282908655703068
erase_and_check,pre,22,target,api,48,43,0.0
erase_and_check,pre,23,filter_check,local,0,0,0.04541733954101801
erase_and_check,pre,23,target,api,47,512,0.0
erase_and_check,pre,24,filter_check,local,0,0,0.03851146996021271
erase_and_check,pre,24,target,api,46,493,0.0
erase_and_check,pre,25,filter_check,local,0,0,0.04071773961186409
erase_and_check,pre,25,target,api,47,18,0.0
erase_and_check,pre,51,filter_check,local,0,0,0.03913059923797846
erase_and_check,pre,51,target,api,46,497,0.0
erase_and_check,pre,52,filter_check,local,0,0,0.047918655909597874
erase_and_check,pre,52,target,api,48,244,0.0
erase_and_check,pre,53,filter_check,local,0,0,0.047552015632390976
erase_and_check,pre,53,target,api,47,512,0.0
erase_and_check,pre,54,filter_check,local,0,0,0.03665495757013559
erase_and_check,pre,54,target,api,45,485,0.0
erase_and_check,pre,55,filter_check,local,0,0,0.040984674356877804
erase_and_check,pre,55,target,api,46,508,0.0
erase_and_check,pre,56,filter_check,local,0,0,0.04409777466207743
erase_and_check,pre,56,target,api,47,426,0.0
erase_and_check,pre,57,filter_check,local,0,0,0.0766340047121048
erase_and_check,pre,57,target,api,49,425,0.0
erase_and_check,pre,58,filter_check,local,0,0,0.06167713273316622
erase_and_check,pre,58,target,api,47,471,0.0
erase_and_check,pre,59,filter_check,local,0,0,0.03574396390467882
erase_and_check,pre,59,target,api,43,512,0.0
erase_and_check,pre,60,filter_check,local,0,0,0.052610754035413265
erase_and_check,pre,60,target,api,47,512,0.0
erase_and_check,pre,61,filter_check,local,0,0,0.03626818489283323
erase_and_check,pre,61,target,api,45,512,0.0
erase_and_check,pre,62,filter_check,local,0,0,0.04749370273202658
erase_and_check,pre,62,target,api,48,508,0.0
erase_and_check,pre,63,filter_check,local,0,0,0.04455472622066736
erase_and_check,pre,63,target,api,47,512,0.0
erase_and_check,pre,64,filter_check,local,0,0,0.03592050541192293
erase_and_check,pre,64,target,api,44,512,0.0
erase_and_check,pre,65,filter_check,local,0,0,0.04250709060579538
erase_and_check,pre,65,target,api,46,509,0.0
erase_and_check,pre,66,filter_check,local,0,0,0.03549179993569851
erase_and_check,pre,66,target,api,45,512,0.0
erase_and_check,pre,67,filter_check,local,0,0,0.0382614079862833
erase_and_check,pre,67,target,api,46,512,0.0
erase_and_check,pre,68,filter_check,local,0,0,0.029589246958494186
erase_and_check,pre,68,target,api,43,390,0.0
erase_and_check,pre,69,filter_check,local,0,0,0.05054367333650589
erase_and_check,pre,69,target,api,44,512,0.0
erase_and_check,pre,70,filter_check,local,0,0,0.039593460969626904
erase_and_check,pre,70,target,api,43,512,0.0
erase_and_check,pre,71,filter_check,local,0,0,0.03959907125681639
erase_and_check,pre,71,target,api,46,512,0.0
erase_and_check,pre,72,filter_check,local,0,0,0.04776161443442106
erase_and_check,pre,72,target,api,47,512,0.0
erase_and_check,pre,73,filter_check,local,0,0,0.052924755960702896
erase_and_check,pre,73,target,api,47,512,0.0
erase_and_check,pre,74,filter_check,local,0,0,0.06764520332217216
erase_and_check,pre,74,target,api,46,512,0.0
erase_and_check,pre,75,filter_check,local,0,0,0.038930718787014484
erase_and_check,pre,75,target,api,48,512,0.0
erase_and_check,pre,101,filter_check,local,0,0,0.0428180443122983
erase_and_check,pre,101,target,api,46,512,0.0
erase_and_check,pre,102,filter_check,local,0,0,0.03180758003145456
erase_and_check,pre,102,target,api,45,404,0.0
erase_and_check,pre,103,filter_check,local,0,0,0.04887503478676081
erase_and_check,pre,103,target,api,46,276,0.0
erase_and_check,pre,104,filter_check,local,0,0,0.04059017077088356
erase_and_check,pre,104,target,api,45,512,0.0
erase_and_check,pre,105,filter_check,local,0,0,0.02766191028058529
erase_and_check,pre,105,target,api,46,512,0.0
erase_and_check,pre,106,filter_check,local,0,0,0.03718019090592861
erase_and_check,pre,106,target,api,45,38,0.0
erase_and_check,pre,107,filter_check,local,0,0,0.02607042621821165
erase_and_check,pre,107,target,api,44,458,0.0
erase_and_check,pre,108,filter_check,local,0,0,0.027647769078612328
erase_and_check,pre,108,target,api,45,512,0.0
erase_and_check,pre,109,filter_check,local,0,0,0.0404273122549057
erase_and_check,pre,109,target,api,49,286,0.0
erase_and_check,pre,110,filter_check,local,0,0,0.030013807117938995
erase_and_check,pre,110,target,api,47,512,0.0
erase_and_check,pre,111,filter_check,local,0,0,0.03525424748659134
erase_and_check,pre,111,target,api,49,420,0.0
erase_and_check,pre,112,filter_check,local,0,0,0.02296979445964098
erase_and_check,pre,112,target,api,41,512,0.0
erase_and_check,pre,113,filter_check,local,0,0,0.0282568521797657
erase_and_check,pre,113,target,api,45,361,0.0
erase_and_check,pre,114,filter_check,local,0,0,0.040052869357168674
erase_and_check,pre,114,target,api,47,471,0.0
erase_and_check,pre,115,filter_check,local,0,0,0.046125403605401516
erase_and_check,pre,115,target,api,49,512,0.0
erase_and_check,pre,116,filter_check,local,0,0,0.03331674728542566
erase_and_check,pre,116,target,api,44,358,0.0
erase_and_check,pre,117,filter_check,local,0,0,0.04612935986369848
erase_and_check,pre,117,target,api,47,512,0.0
erase_and_check,pre,118,filter_check,local,0,0,0.05565719213336706
erase_and_check,pre,118,target,api,48,483,0.0
erase_and_check,pre,119,filter_check,local,0,0,0.03454752452671528
erase_and_check,pre,119,target,api,44,512,0.0
erase_and_check,pre,120,filter_check,local,0,0,0.05307071004062891
erase_and_check,pre,120,target,api,46,463,0.0
erase_and_check,pre,121,filter_check,local,0,0,0.044816987589001656
erase_and_check,pre,121,target,api,44,497,0.0
erase_and_check,pre,122,filter_check,local,0,0,0.047369712963700294
